match_id,team1,team2,city,venue,season,team1_runs,team2_runs,winner
1136590,Chennai Super Kings,Delhi Capitals,Pune,Maharashtra Cricket Association Stadium,2018,211,198.0,Chennai Super Kings
1136591,Royal Challengers Bangalore,Mumbai Indians,Bengaluru,M Chinnaswamy Stadium,2018,167,153.0,Royal Challengers Bangalore
1136592,Delhi Capitals,Rajasthan Royals,Delhi,Arun Jaitley Stadium,2018,196,146.0,Delhi Daredevils
1136593,Chennai Super Kings,Kolkata Knight Riders,Kolkata,Eden Gardens,2018,177,180.0,Kolkata Knight Riders
1136594,Punjab Kings,Mumbai Indians,Indore,Holkar Cricket Stadium,2018,174,176.0,Mumbai Indians
1136595,Royal Challengers Bangalore,Chennai Super Kings,Pune,Maharashtra Cricket Association Stadium,2018,127,128.0,Chennai Super Kings
1136596,Delhi Capitals,Sunrisers Hyderabad,Hyderabad,Rajiv Gandhi International Stadium,2018,163,164.0,Sunrisers Hyderabad
1136597,Mumbai Indians,Kolkata Knight Riders,Mumbai,Wankhede Stadium,2018,181,168.0,Mumbai Indians
1136598,Rajasthan Royals,Punjab Kings,Indore,Holkar Cricket Stadium,2018,152,155.0,Kings XI Punjab
1136599,Sunrisers Hyderabad,Royal Challengers Bangalore,Hyderabad,Rajiv Gandhi International Stadium,2018,146,141.0,Sunrisers Hyderabad
1136600,Rajasthan Royals,Punjab Kings,Jaipur,Sawai Mansingh Stadium,2018,158,143.0,Rajasthan Royals
1136601,Mumbai Indians,Kolkata Knight Riders,Kolkata,Eden Gardens,2018,210,108.0,Mumbai Indians
1136602,Delhi Capitals,Sunrisers Hyderabad,Delhi,Arun Jaitley Stadium,2018,187,191.0,Sunrisers Hyderabad
1136603,Chennai Super Kings,Rajasthan Royals,Jaipur,Sawai Mansingh Stadium,2018,176,177.0,Rajasthan Royals
1136604,Kolkata Knight Riders,Punjab Kings,Indore,Holkar Cricket Stadium,2018,245,214.0,Kolkata Knight Riders
1136605,Delhi Capitals,Royal Challengers Bangalore,Delhi,Arun Jaitley Stadium,2018,181,187.0,Royal Challengers Bangalore
1136606,Sunrisers Hyderabad,Chennai Super Kings,Pune,Maharashtra Cricket Association Stadium,2018,179,180.0,Chennai Super Kings
1136607,Mumbai Indians,Rajasthan Royals,Mumbai,Wankhede Stadium,2018,168,171.0,Rajasthan Royals
1136608,Punjab Kings,Royal Challengers Bangalore,Indore,Holkar Cricket Stadium,2018,88,92.0,Royal Challengers Bangalore
1136609,Rajasthan Royals,Kolkata Knight Riders,Kolkata,Eden Gardens,2018,142,145.0,Kolkata Knight Riders
1136610,Mumbai Indians,Punjab Kings,Mumbai,Wankhede Stadium,2018,186,183.0,Mumbai Indians
1136611,Royal Challengers Bangalore,Sunrisers Hyderabad,Bengaluru,M Chinnaswamy Stadium,2018,218,204.0,Royal Challengers Bangalore
1136612,Delhi Capitals,Chennai Super Kings,Delhi,Arun Jaitley Stadium,2018,162,128.0,Delhi Daredevils
1136613,Rajasthan Royals,Royal Challengers Bangalore,Jaipur,Sawai Mansingh Stadium,2018,164,134.0,Rajasthan Royals
1136614,Sunrisers Hyderabad,Kolkata Knight Riders,Hyderabad,Rajiv Gandhi International Stadium,2018,172,173.0,Kolkata Knight Riders
1136615,Delhi Capitals,Mumbai Indians,Delhi,Arun Jaitley Stadium,2018,174,163.0,Delhi Daredevils
1136616,Punjab Kings,Chennai Super Kings,Pune,Maharashtra Cricket Association Stadium,2018,153,159.0,Chennai Super Kings
1136617,Sunrisers Hyderabad,Chennai Super Kings,Mumbai,Wankhede Stadium,2018,139,140.0,Chennai Super Kings
1136618,Kolkata Knight Riders,Rajasthan Royals,Kolkata,Eden Gardens,2018,169,144.0,Kolkata Knight Riders
1136619,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,Eden Gardens,2018,174,160.0,Sunrisers Hyderabad
1136620,Sunrisers Hyderabad,Chennai Super Kings,Mumbai,Wankhede Stadium,2018,178,181.0,Chennai Super Kings
1175356,Royal Challengers Bangalore,Chennai Super Kings,Chennai,MA Chidambaram Stadium,2019,70,71.0,Chennai Super Kings
1175357,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata,Eden Gardens,2019,181,183.0,Kolkata Knight Riders
1175358,Delhi Capitals,Mumbai Indians,Mumbai,Wankhede Stadium,2019,213,176.0,Delhi Capitals
