match_id,team1,team2,city,venue,season,team1_runs,team2_runs,winner
336036,Rajasthan Royals,Mumbai Indians,Jaipur,Sawai Mansingh Stadium,2008,145,146,Rajasthan Royals
336037,Sunrisers Hyderabad,Chennai Super Kings,Hyderabad,Rajiv Gandhi International Stadium,2008,147,148,Chennai Super Kings
336012,Royal Challengers Bangalore,Mumbai Indians,Bengaluru,M Chinnaswamy Stadium,2008,122,126,Mumbai Indians
336019,Punjab Kings,Rajasthan Royals,Mohali,Punjab Cricket Association IS Bindra Stadium,2008,221,180,Kings XI Punjab
336038,Delhi Capitals,Rajasthan Royals,Mumbai,Wankhede Stadium,2008,192,87,Rajasthan Royals
336039,Chennai Super Kings,Punjab Kings,Mumbai,Wankhede Stadium,2008,112,116,Chennai Super Kings
336040,Chennai Super Kings,Rajasthan Royals,Mumbai,Dr DY Patil Sports Academy,2008,163,164,Rajasthan Royals
392181,Chennai Super Kings,Mumbai Indians,Cape Town,Newlands,2009,165,146,Mumbai Indians
392182,Royal Challengers Bangalore,Rajasthan Royals,Cape Town,Newlands,2009,133,58,Royal Challengers Bangalore
392183,Delhi Capitals,Punjab Kings,Cape Town,Newlands,2009,104,58,Delhi Daredevils
392184,Sunrisers Hyderabad,Kolkata Knight Riders,Cape Town,Newlands,2009,101,104,Deccan Chargers
392185,Royal Challengers Bangalore,Chennai Super Kings,Port Elizabeth,St George's Park,2009,179,87,Chennai Super Kings
392186,Punjab Kings,Kolkata Knight Riders,Durban,Kingsmead,2009,158,79,Kolkata Knight Riders
392188,Royal Challengers Bangalore,Sunrisers Hyderabad,Cape Town,Newlands,2009,184,160,Deccan Chargers
392189,Chennai Super Kings,Delhi Capitals,Durban,Kingsmead,2009,189,180,Delhi Daredevils
392190,Kolkata Knight Riders,Rajasthan Royals,Cape Town,Newlands,2009,150,150,Rajasthan Royals
392191,Royal Challengers Bangalore,Punjab Kings,Durban,Kingsmead,2009,168,173,Kings XI Punjab
392192,Sunrisers Hyderabad,Mumbai Indians,Durban,Kingsmead,2009,168,156,Deccan Chargers
392194,Royal Challengers Bangalore,Delhi Capitals,Port Elizabeth,St George's Park,2009,149,150,Delhi Daredevils
392195,Punjab Kings,Rajasthan Royals,Cape Town,Newlands,2009,139,112,Kings XI Punjab
392196,Chennai Super Kings,Sunrisers Hyderabad,Durban,Kingsmead,2009,165,169,Deccan Chargers
392197,Kolkata Knight Riders,Mumbai Indians,Port Elizabeth,St George's Park,2009,187,95,Mumbai Indians
392198,Delhi Capitals,Rajasthan Royals,Centurion,SuperSport Park,2009,143,147,Rajasthan Royals
392199,Royal Challengers Bangalore,Kolkata Knight Riders,Durban,Kingsmead,2009,139,143,Royal Challengers Bangalore
392200,Punjab Kings,Mumbai Indians,Durban,Kingsmead,2009,119,116,Kings XI Punjab
392201,Sunrisers Hyderabad,Delhi Capitals,Centurion,SuperSport Park,2009,148,150,Delhi Daredevils
392202,Chennai Super Kings,Rajasthan Royals,Centurion,SuperSport Park,2009,164,126,Chennai Super Kings
392203,Kolkata Knight Riders,Mumbai Indians,East London,Buffalo Park,2009,148,139,Mumbai Indians
392204,Royal Challengers Bangalore,Punjab Kings,Durban,Kingsmead,2009,145,137,Royal Challengers Bangalore
392205,Sunrisers Hyderabad,Rajasthan Royals,Port Elizabeth,St George's Park,2009,141,142,Rajasthan Royals
392206,Chennai Super Kings,Delhi Capitals,Johannesburg,New Wanderers Stadium,2009,163,145,Chennai Super Kings
392207,Punjab Kings,Kolkata Knight Riders,Port Elizabeth,St George's Park,2009,153,154,Kings XI Punjab
392208,Royal Challengers Bangalore,Mumbai Indians,Johannesburg,New Wanderers Stadium,2009,149,150,Royal Challengers Bangalore
392209,Chennai Super Kings,Sunrisers Hyderabad,East London,Buffalo Park,2009,178,100,Chennai Super Kings
392210,Punjab Kings,Rajasthan Royals,Durban,Kingsmead,2009,211,133,Rajasthan Royals
392211,Delhi Capitals,Kolkata Knight Riders,Durban,Kingsmead,2009,154,157,Delhi Daredevils
392212,Sunrisers Hyderabad,Mumbai Indians,Centurion,SuperSport Park,2009,145,126,Deccan Chargers
392213,Royal Challengers Bangalore,Rajasthan Royals,Centurion,SuperSport Park,2009,105,107,Rajasthan Royals
392214,Chennai Super Kings,Punjab Kings,Centurion,SuperSport Park,2009,185,174,Chennai Super Kings
392215,Delhi Capitals,Mumbai Indians,East London,Buffalo Park,2009,116,118,Delhi Daredevils
392216,Sunrisers Hyderabad,Punjab Kings,Kimberley,De Beers Diamond Oval,2009,168,169,Kings XI Punjab
392217,Chennai Super Kings,Rajasthan Royals,Kimberley,De Beers Diamond Oval,2009,140,141,Chennai Super Kings
392218,Royal Challengers Bangalore,Mumbai Indians,Port Elizabeth,St George's Park,2009,157,141,Mumbai Indians
392219,Delhi Capitals,Kolkata Knight Riders,Johannesburg,New Wanderers Stadium,2009,123,125,Delhi Daredevils
392220,Sunrisers Hyderabad,Rajasthan Royals,Kimberley,De Beers Diamond Oval,2009,166,113,Deccan Chargers
